transactie_id;datum;tijd;klant_id;postcode;gender;leeftijd;email;categorie;aantal_items;bedrag_excl_korting;korting;bedrag_totaal;betaalmethode;medewerker_id
TX001148;2025-12-01;10:31:12;K00522;4001;V;28;k00522@example.com;Schoenen;3;324,52;0;324,52;Pin;MW002
TX000681;2025-12-01;10:41:36;K00106;;;;;Dames;2;79,76;0;79,76;Creditcard;MW002
TX000048;2025-12-01;10:43:07;K00358;5042;M;37;k00358@example.com;Sale;6;116,99;0;116,99;Creditcard;MW004
TX001272;2025-12-01;10:55:55;K00388;5046;M;26;k00388@example.com;Accessoires;3;45,51;0;45,51;Pin;MW003
TX001620;2025-12-01;10:58:02;K00080;;;;;Accessoires;4;153,16;0;153,16;Creditcard;MW003
TX002387;2025-12-01;11:01:52;K00046;4001;V;46;k00046@example.com;Dames;4;356,24;0;356,24;Pin;MW001
TX001479;2025-12-01;11:28:07;K00010;5042;V;22;k00010@example.com;Schoenen;2;150,58;0;150,58;Pin;MW004
TX001135;2025-12-01;11:32:22;K00100;4001;V;31;k00100@example.com;Heren;3;162,74;12,84;149,9;Creditcard;MW004
TX001788;2025-12-01;11:42:07;K00791;;;;;Sale;1;18,35;0;18,35;Pin;MW003
TX000014;2025-12-01;11:49:16;K00589;;;;;Dames;1;95,41;0;95,41;Contant;MW003
TX000609;2025-12-01;11:57:08;K00742;5038;M;27;k00742@example.com;Dames;3;288,7;0;288,7;Pin;MW003
TX001769;2025-12-01;11:58:31;K00141;;;;;Dames;3;142,73;0;142,73;Creditcard;MW003
TX001957;2025-12-01;13:11:04;K00322;;;;;Dames;3;309,5;0;309,5;Pin;MW001
TX000071;2025-12-01;14:03:40;K00444;;;;;Dames;3;133,96;0;133,96;Pin;MW004
TX001889;2025-12-01;14:13:57;K00097;5262;V;29;k00097@example.com;Heren;1;68,12;0;68,12;Pin;MW002
TX002365;2025-12-01;14:15:43;K00350;5042;V;35;k00350@example.com;Heren;1;72,5;0;72,5;Pin;MW004
TX000484;2025-12-01;14:26:43;K00618;;;;;Schoenen;2;149,68;0;149,68;Contant;MW004
TX000593;2025-12-01;14:27:27;K00247;;;;;Schoenen;4;568,69;84,89;483,8;Creditcard;MW002
TX001622;2025-12-01;14:39:39;K00147;;;;;Heren;3;189,37;0;189,37;Contant;MW004
TX000629;2025-12-01;14:41:33;K00150;;;;;Dames;4;430,34;0;430,34;Pin;MW001
TX002351;2025-12-01;14:59:43;K00655;5121;M;27;k00655@example.com;Accessoires;2;64,49;11,67;52,82;Creditcard;MW001
TX001688;2025-12-01;15:02:04;K00242;4001;M;22;k00242@example.com;Heren;2;168,57;0;168,57;Pin;MW004
TX000417;2025-12-01;15:11:29;K00509;;;;;Dames;2;127,33;0;127,33;Pin;MW004
TX001391;2025-12-01;15:42:00;K00090;;;;;Heren;3;307,21;0;307,21;Pin;MW003
TX001934;2025-12-01;15:47:35;K00698;;;;;Accessoires;3;58,52;0;58,52;Pin;MW001
TX002080;2025-12-01;16:27:54;K00174;5017;V;21;k00174@example.com;Heren;1;108,22;0;108,22;Contant;MW002
TX002391;2025-12-01;17:23:29;K00595;5042;V;36;k00595@example.com;Dames;1;107,63;0;107,63;Pin;MW002
TX000594;2025-12-01;17:35:56;K00713;;;;;Dames;1;50,4;0;50,4;Pin;MW001
TX000779;2025-12-01;17:38:23;K00088;;;;;Schoenen;1;89,78;5,21;84,57;Pin;MW001
